TranslatedRecipeName,ingredients_parsed
Masala Karela Recipe,amchur karela chilli powder gram flour onion cumin coriander powder turmeric powder sunflower
Spicy Tomato Rice (Recipe),tomato chickpea lentils chilli rice mustard bc belle bhat powder chilli cashew peanuts oilasafoetida cumin urad dal
Ragi Semiya Upma Recipe - Ragi Millet Vermicelli Breakfast,rice vermicelli noodles asafoetida mustard ghee peas carrot curry urad dal onion lemon chillies
Gongura Chicken Curry Recipe - Andhra Style Gongura Chicken,tomato ginger sorrel fennel sesame cloves garlic coriander onion chicken methi chillies turmeric powder chillies garam masala powder
Andhra Style Alam Pachadi Recipe - Adrak Chutney (Recipe),tomato ginger chillies curry asafoetida mustard chana dal onion coriander urad dal
Pudina Khara Pongal Recipe (Rice and Lentils Cooked With Mint Leaves & Mild Spices),cashew nuts yellow moong dal ginger chilli rice coriander ghee asafoetida peppercorns curry cumin mint sunflower
Udupi Style Ash Gourd Coconut Curry Recipe,tamarind coconut mustard jaggery vellai poosanikai curry chillies coriander methi cumin turmeric powder sesame sunflower
Mexican Style Black Bean Burrito Recipe,tomato spring onion greens hung curd beans cloves garlic rice rice coriander onion lemon cheddar cheese spinach tortillas
Spicy Crunchy Masala Idli Recipe,tomato coriander idli chilli powder tomato ketchup onion bell pepper mint turmeric powder chillies sunflower
Cauliflower Leaves Chutney (Recipe in Hindi),tomato turmeric powder chillies spoon rye asafoetida cloves garlic curry cabbage tamarind cumin urad dal
Homemade Baked Beans Recipe (Wholesome & Healthy),tomato cumin powder pepper cloves garlic olive onion beans chilli powder cayenne pepper oregano
Veg Chili Cheese Burgers Recipe,cheese burger buns potato pressure tomato soy granules eggs cumin powder tabasco original sauce sunflower chilli powder cloves garlic chilli flakes jalapenos onion bell pepper bread crumbs oregano
Andhra Steel Ingavu Charu Recipe - Asfoitida Flavored Tamarand Rasam,arhar dal tamarind mustard asafoetida curry cumin methi sunflower
And fish soup recipe - Bengali style fish in tomato gravy,tomato cumin powder coriander powder bay mustard coriander cumin ginger paste turmeric powder chillies aar maach rohu katla fish
Saunf Aloo (Fennel Potato Curry) Recipe,fennel potato skin milk chilli powder coriander turmeric powder
South Indian Onion Chutney Recipe - South Indian Onion Chutney (Recipe),rye jaggery urad dal curry chillies onion tamarind paste cumin
Hariyali Egg Curry Recipe In Coriander and Mint Gravy,chillies ginger bay coriander mint cloves garlic cinnamon stick onion coriander powder eggs cloves garam masala powder sunflower
Gourd Raita Recipe - Grated Bottle Gourd Yogurt Salad,coriander cucumber grind cumin powder curd gourd
Homemade Tater Tots Recipe,rice flour coriander onion powder sunflower r tots flour chilli flakes garlic powder potato oregano
Chettinad Vegetable Casserole Recipe - Chettinad Vegetable Pulao Recipe,turmeric powder ginger rice ghee cinnamon fennel chilli powder cloves garlic carrot beans onion bay break mint potatoes pepper cloves coriander chillies peas
Garlic Amla Chutney Recipe - Lehsun Amla Chutney Recipe,cashew nuts rye urad dal mint coriander curry amla onion chana dal bud garlic chillies
Maharashtrian Kakdi Thalipeeth Recipe - Spiced Cucumber Flat Bread,flour cumin powder ghee thalipeeth coriander chilli powder cloves garlic gram flour cucumber coriander powder rice flour turmeric powder chillies
Homemade Healthy Subway Sandwich Recipe With Beet & Sprout,tomato hung curd stalks spring onion coriander tabasco original sauce moong sprouts cloves garlic pepper beetroot submarine bread
South Indian Style Murungakkai Poriyal Recipe - Drumstick Stir Fry,mustard coconut drumstick curry chillies turmeric powder coconut chillies
Kesar Mango Lassi Recipe - Saffron Mango Lassi Recipe,mango pulp milk milk cubes saffron strands curd badam
Chettinad Sweet Paniyaram Recipe - Chettinad Sweet Paniyaram Recipe,cardamom powder idli dosa mixture coconut jaggery rice rava
Mini Dal Samosa Curry / Sabzi Recipe,cashew nuts cardamom tomato kashmiri chilli powder samosas mini chilli ginger cardamom podsseeds bay cloves cloves peppercorns cinnamon stick mace onion coriander powder turmeric powder kasuri methi garam masala powder sunflower
Spinach Garlic Bruschetta Recipe With Red Bell Pepper Sauce,tomato baguette italian garlic onion cheddar cheese pepper powder tomato pasta sauce spinach butter bell pepper (
Mini Dal Mature Chat Recipe - That Perfect Party Snack,asafoetida ajwain curry onion cumin turmeric powder chillies chana dal sunflower flour sev pomegranate fruit kernels flour chutney garam masala powder chilli powder chutney amchur ghee
Asian Style Sweet & Spicy Green Beans Recipe,beans rice wine vinegar sesame cloves garlic soy sauce thai chilli sauce lemon peanuts
Chinese Darsaan Recipe With Ice Cream,powder make vanilla flour sesame sunflower
Sundakkai and Methi Leaves Sambar Recipe - Sundkai Methi Sambar Recipe,tomato turmeric powder coriander fenugreek sundkai asafoetida mustard chilli curry coriander powder arhar dal tamarind sambar powder cumin
"Cabbage, Spinach, Pomegranate Slaw with Lemon Dressing Recipe",spinach olive lemon pomegranate fruit kernels cabbage pepper
Matar Samosa Recipe -Green Pea Samosa,cinnamon powder amchur ghee chilli powder peas chilli sauce cumin flour garam masala powder sunflower
Eggless Chocolate Cupcakes With Raspberry & Cheese Frosting,cheese powder britannia raspberries milk salted butter vanilla dark chocolate caster cocoa powder flour
Kerala pala pradham recipe,ada ghee cardamom powder milk full
Tindora Sambharo Recipe - Instant Tendli Pickle,sunflower asafoetida chilli powder split methi tindora lemon turmeric powder split mustard
Chettinad Style Chicken Roast Recipe,jaggery cloves garlic peppercorns curry coriander onion cumin turmeric powder chicken legs sunflower cardamom podsseeds chillies tamarind paste kalonji coconut mustard methi hung curd ginger ghee fennel cinnamon stick cloves
Palakottai Kujambu Recipe-Kongunad Style Jackfruit Seeds Curry,tomato coriander jackfruit tamarind mustard asafoetida coconut chilli powder cloves garlic peppercorns curry chillies onion cumin coriander turmeric powder sambar powder sunflower
Baingan Bharta Recipe - Brinjal Bharta Recipe,tomato turmeric powder ginger chilli powder eggsplant coriander onion coriander powder chillies butter garam masala powder
Kesar Chai Recipe - A Delicious Saffron Flavored Indian Tea,milk saffron strands tea
Pacha Manga Pachadi Recipe - Tamil Nadu Raw Mango Pachadi Recipe,turmeric powder tamarind asafoetida jaggery mustard curry chillies mango sambar powder
Short Knot Husband Recipe - Raw Jackfruit & Black Chickpea Stir Fry,tomato jackfruit ginger tamarind mustard coconut cloves garlic curry chillies coriander cumin cinnamon stick turmeric powder cloves kala chana
Whole Wheat Crepe Recipe With Herbed Vegetables,flour bell pepper cheese flavoured italian parsley onion broccoli
Makki and Methi Roti Recipe,makki ka atta kashmiri chilli powder ajwain methi chillies
Cabbage and Carrot Sambharo Recipe - Gujarati Vegetable Stir Fry,mustard asafoetida carrot curry lemon bell pepper turmeric powder chillies cabbage sunflower
Whole Wheat Pita Bread Recipe,flour yeast olive flour
Andhra Steel Tomato Knock Recipe (Tomato Chutney),tomato mustard chilli powder cloves garlic chillies methi tamarind paste turmeric powder sunflower
Herbal Brown Rice Recipe - Herbal Brown Rice Recipe,rice rosemary chilli flakes onion garlic oregano
Rajasthani very roti recipe,flour ghee
Peerkangai Thogayal Recipe (Ridge Gourd Peel Chutney),ridge gourd skin mustard curry urad dal chillies methi tamarind sunflower
Dalia Pakora Recipe - Dalia Pakora Recipe,make pakora batter enos fruit chilli coriander ajwain sunflower pakoras gram flour onion cumin turmeric powder sunflower
Paneer Tikka Saddle Roll Recipe,flour hung curd ginger ghee paneer chaat masala powder cloves garlic gram flour onion lemon coal giving flavour bell pepper mint turmeric powder kasuri methi garam masala powder
Pan Fried Rice Balls Filled With Cheese Recipe,jasmine rice eggs fork mozzarella cheese olive onion parsley corn parmesan cheese flour bread crumbs butter sunflower
Spicy Seafood Stew Casserole With Tomatoes And Lime Recipe,tomato cumin powder chillies fish fillet basa paprika powder coriander chicken cloves garlic carrot olive onion lemon potatoes pepper powder coconut milk clamps prawns
